Term1	Term2	kappa_score
GO:0000001	GO:0000002	0.2099322799097066
GO:0000001	GO:0000003	0.1336633663366337
GO:0000001	GO:0000004	0.2099322799097066
GO:0000001	GO:0000005	0.43566591422121914
GO:0000001	GO:0000006	0.3811881188118814
GO:0000001	GO:0000007	0.16216216216216175
GO:0000001	GO:0000008	0.36040044493882084
GO:0000001	GO:0000009	0.46695095948827303
GO:0000001	GO:0000010	0.39862542955326463
GO:0000002	GO:0000003	0.16020671834625316
GO:0000002	GO:0000004	0.4172494172494173
GO:0000002	GO:0000005	0.18414918414918396
GO:0000002	GO:0000006	0.09560723514211873
GO:0000002	GO:0000007	0.41666666666666674
GO:0000002	GO:0000008	0.16857798165137605
GO:0000002	GO:0000009	0.17943107221006535
GO:0000002	GO:0000010	0.3187203791469193
GO:0000003	GO:0000004	0.22480620155038758
GO:0000003	GO:0000005	0.35400516795865644
GO:0000003	GO:0000006	0.25595238095238154
GO:0000003	GO:0000007	0.06060606060606033
GO:0000003	GO:0000008	0.27307206068268025
GO:0000003	GO:0000009	0.22802850356294557
GO:0000003	GO:0000010	0.17437252311756954
GO:0000004	GO:0000005	0.0675990675990676
GO:0000004	GO:0000006	0.22480620155038758
GO:0000004	GO:0000007	0.36111111111111116
GO:0000004	GO:0000008	0.28325688073394495
GO:0000004	GO:0000009	0.23413566739606104
GO:0000004	GO:0000010	0.3187203791469193
GO:0000005	GO:0000006	0.16020671834625316
GO:0000005	GO:0000007	0.1944444444444443
GO:0000005	GO:0000008	0.16857798165137605
GO:0000005	GO:0000009	0.23413566739606104
GO:0000005	GO:0000010	0.3187203791469193
GO:0000006	GO:0000007	0.303030303030303
GO:0000006	GO:0000008	0.20986093552465238
GO:0000006	GO:0000009	0.34679334916864635
GO:0000006	GO:0000010	0.17437252311756954
GO:0000007	GO:0000008	0.23287671232876703
GO:0000007	GO:0000009	0.18421052631578957
GO:0000007	GO:0000010	0.09859154929577474
GO:0000008	GO:0000009	0.3250539956803457
GO:0000008	GO:0000010	0.3011065812463598
GO:0000009	GO:0000010	0.2516629711751663
